id,评论ID,抖音号,评论内容,评论时间,评论获赞数,评论回复数,性别,年龄,地区,获赞数,关注数,粉丝数,作品数,动态数,粉丝数
181,橙汁儿,970190269,@Devil~ @Lemon° 同样材质的小石头,2020-04-15 10:44:38,0,4,,,,,,,,,
182,小枫子,2114910798,喧嚣世界里的一片净土,2020-04-15 10:37:17,0,0,,,,,,,,,
183,卑微小张,792358196,道不同不相为谋[一起加油],2020-04-15 10:35:10,0,0,,,,,,,,,
184,なぞ🌸,858526276,当第几次无理取闹地集征伐之后，突然发现那句“一个人对你有意见可能是两人吵架，一群人对你有意见可能真的要反思一下”说的也不对，只是有些人选择事不关己高高挂起，又或者会闹会哭的小孩才有糖吃,2020-04-15 10:28:49,4,0,,,,,,,,,
185,宸,124443419,@沉默。 物以类聚[微笑],2020-04-15 10:14:18,0,0,,,,,,,,,
186,白衣苍狗,1139202226,八月长安，你也常安,2020-04-15 10:14:08,5,0,,,,,,,,,
187,Eva,1446883304,下一个视频讲《全世界最好的你》吧！求求你了[捂脸][捂脸],2020-04-15 10:05:25,1,0,,,,,,,,,
188,潇洒哈哈,1112214247,[玫瑰][玫瑰][玫瑰],2020-04-15 09:58:10,0,0,,,,,,,,,
189,Mini靡幂,572910707,嗯！这段时间一直为这个所困扰[捂脸],2020-04-15 09:57:55,1,0,,,,,,,,,
190,山远天高烟水寒,1059560011,@陈一鸣的老婆,2020-04-15 09:57:10,1,0,,,,,,,,,
191,韩韩敏敏.,2802250896,@长大拯救世界,2020-04-15 09:52:38,1,0,,,,,,,,,
192,玖月✨女孩,1285625096,@白玉,2020-04-15 09:47:44,0,0,,,,,,,,,
193,梦回前世,2937106578,[比心][比心][比心][比心][比心][比心],2020-04-15 09:47:42,0,0,,,,,,,,,
194,音为爱你,1051795565,想了好久，怕我认识的人看见，虽然可能性不大。但是我还要说，姐姐说的对，我懂了,2020-04-15 09:44:18,1,0,,,,,,,,,
195,S . 张天 *,145137691,是振华三部曲的那个『你好，旧时光』吗？,2020-04-15 09:37:51,0,1,,,,,,,,,
196,眉眼是你,3470065693,咱俩性格不一样，为啥就堆一起了呢[翻白眼]@山河故里,2020-04-15 09:20:23,0,2,,,,,,,,,
197,Alice🐳,149451399,我的室友超级好的！！！而且大家的性格都很好[小鼓掌][小鼓掌],2020-04-15 09:15:32,1,0,,,,,,,,,
198,十一,383880360,我们是同样材质的闺蜜[呲牙]@王卿娜 _,2020-04-15 09:14:41,0,0,,,,,,,,,
199,九,60909205,@♡xie忧.,2020-04-15 09:11:22,2,0,,,,,,,,,
200,晴空女孩♛,2892909944,@星星落入凡间..,2020-04-15 09:10:06,1,1,,,,,,,,,
201,liwenbo,4438326,同样材质的小石头[微笑袋鼠]@烂泥小姐🦋,2020-04-15 09:06:10,1,1,,,,,,,,,
202,抖音极速版用户，,1140221613,加油,2020-04-15 09:03:42,2,0,,,,,,,,,
203,无畏的西瓜🍉,2122295953,@不够努力,2020-04-15 08:51:16,0,0,,,,,,,,,
204,め那些ηǐáη譁,980230868,[送心][赞],2020-04-15 08:48:21,0,0,,,,,,,,,
205,伯克利呀,1841823073,@小战多吃点儿 @哎呦喂 世界这么大[呲牙],2020-04-15 08:41:56,1,2,,,,,,,,,
206,你衔花送月到渡口,616723071,选择性当朋友,2020-04-15 08:09:56,0,0,,,,,,,,,
207,做一个有温度的硕士生,2369300734,朋友该如何定义呢,2020-04-15 08:09:51,1,0,,,,,,,,,
208,line,1847285011,这样分情况吧，有性格相和的真的可以成为朋友，虽然我没有，但是我见过，真的不是塑料姐妹的那种，关系三观都特别和,2020-04-15 07:59:56,2,0,,,,,,,,,
209,Rusell,953241540,好喜欢你啊，你给我一种岁月静好的感觉，很有气质,2020-04-15 07:57:32,1,0,,,,,,,,,
210,酱子🍊,39181681,@大大～ 大学室友还可以当闺蜜,2020-04-15 07:45:46,0,1,,,,,,,,,
211,用户＾3＾酔320823216394,2307648884,漂亮姐姐，好喜欢你吖[玫瑰],2020-04-15 07:44:38,0,0,,,,,,,,,
212,玺博,46315130,@颜知不知 说的太棒了[泣不成声],2020-04-15 07:42:05,1,0,,,,,,,,,
213,玄素,3553628172,说到心里了[思考][给力][V5],2020-04-15 07:38:18,0,0,,,,,,,,,
214,梦境微凉,2802793340,嗯嗯,2020-04-15 07:20:42,0,0,,,,,,,,,
215,😃😄😁😂😝😞,3538407775,@🍑,2020-04-15 07:18:39,5,0,,,,,,,,,
216,玊尔。,189094424,旧时光真的是心中的白月光。[泣不成声],2020-04-15 07:14:45,1,0,,,,,,,,,
